year,MES,mes num,time_serie,          211 - Extracción de petróleo y gas,"          212 - Minería de minerales metálicos y no metálicos, excepto petróleo y gas",          213 - Servicios relacionados con la minería,"          221 - Generación, transmisión y distribución de energía eléctrica",          222 - Suministro de agua y suministro de gas por ductos al consumidor final,          236 - Edificación,          237 - Construcción de obras de ingeniería civil,          238 - Trabajos especializados para la construcción,          311 - Industria alimentaria,          312 - Industria de las bebidas y del tabaco,          313 - Fabricación de insumos textiles y acabado de textiles,"          314 - Fabricación de productos textiles, excepto prendas de vestir",          315 - Fabricación de prendas de vestir,"          316 - Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",          321 - Industria de la madera,          322 - Industria del papel,          323 - Impresión e industrias conexas,          324 - Fabricación de productos derivados del petróleo y del carbón,          325 - Industria química,          326 - Industria del plástico y del hule,          327 - Fabricación de productos a base de minerales no metálicos,          331 - Industrias metálicas básicas,          332 - Fabricación de productos metálicos,          333 - Fabricación de maquinaria y equipo,"          334 - Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos","          335 - Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",          336 - Fabricación de equipo de transporte,"          337 - Fabricación de muebles, colchones y persianas",          339 - Otras industrias manufactureras
2013,Diciembre,12,24,102.013150791591,107.731291916544,91.841558908578,92.653007722892,101.391113032225,102.967597853505,118.521964420603,97.186255178247,103.242372228290,92.838643966798,82.715304207781,84.505179791681,90.071987505498,82.030478274853,84.400620794175,95.312501718000,104.108270645462,106.241480803983,95.211816966120,86.543479160239,94.682013771646,94.247050498819,91.009557691752,81.999127361575,96.485376370086,91.190309703058,77.962190422890,121.135988878811,93.152468372908
2014,Enero,1,25,101.582196175418,96.438618928404,152.858957119432,100.431553526309,100.818522742508,91.026754223885,88.851912178473,110.497175217784,104.367162963541,88.048596705821,92.377981619764,106.964274011893,95.864141763195,88.931531831903,93.843410851337,102.457179425960,87.144117473984,100.452890542421,101.744148414456,100.749240825532,97.713830770671,111.732925448600,102.338296136292,93.447929649606,107.765139814790,98.471356748037,102.540167484059,86.689368067901,93.657067415064
2014,Febrero,2,26,91.830578752656,94.990472474281,115.631771620517,96.947754638840,99.750404009897,104.168911979107,85.813361952494,108.095518616779,98.748246812685,85.927071586628,95.892695107343,101.588294001540,96.458942105621,98.321468381638,86.237797029581,97.745812804075,92.330986147975,81.881039674368,93.694790331818,97.175514694531,97.993168342985,105.833771566141,96.926475142824,91.394693936787,100.293563095365,103.592810971912,103.401414934408,82.938050363608,101.854891353228
2014,Marzo,3,27,100.636561610445,104.758388760765,127.755431229355,105.473159963036,102.224148458835,102.713293185038,84.466752958981,107.658396549371,103.216193846653,101.553925662368,104.163075483389,106.152268630098,103.786680281179,104.148317153178,101.270352261833,107.780407078162,93.875435087202,99.789658345964,103.225271409607,102.011450555349,105.625154893612,112.920119191723,107.839745819879,103.063773870625,108.290632414998,102.909996195174,111.678437231728,89.870387195077,103.160413288921
2014,Abril,4,28,97.526458397539,100.871670219827,89.623439372625,105.900801862562,101.380233780750,103.848266946675,94.705425457465,104.243921495683,100.890425397703,104.915528260759,92.002841705284,96.558298865756,95.231726702133,98.284490962598,98.830262431690,102.726413728024,99.611771584514,103.419576205734,94.456014227328,101.309797517042,99.750077669019,105.712543897789,104.961565709117,100.394727704510,103.788493483021,97.704488311813,105.247520457544,85.830414082351,99.032500846201
2014,Mayo,5,29,101.093954200612,106.242786970473,90.280062062022,112.437765725946,102.743265431971,105.717999558804,96.036219128314,110.178574074003,103.287736755423,110.714455502076,106.536096827205,105.866200631434,97.504863736673,100.620768125144,108.929949928519,108.179945017963,98.893520010143,99.802463255834,100.889278208265,108.858534451476,105.668428155619,111.276951342715,107.453327140337,100.531911842897,116.056512322857,103.855083305768,116.099456974386,89.222048220288,99.568995109521
2014,Junio,6,30,96.022815575272,102.899129985702,96.425620386348,115.158744078126,102.581706255772,104.224524896670,91.968901146023,106.710773903905,97.369123713958,107.616459240305,97.010685885270,102.815502428022,95.673016272036,97.587914624849,100.675471295636,105.615874011437,102.480661909045,98.159222673578,102.132809867928,107.373800623681,101.317025853631,109.615838256555,107.888276161569,106.371357702857,113.033674046756,107.345484452932,116.997178346942,86.221657253155,101.062213879459
2014,Julio,7,31,97.458773737362,102.017512831107,91.301399949750,117.526055430765,103.352066884028,102.202098939176,94.824908201105,111.485823839117,97.678969032547,109.628871716674,105.959601474327,113.000880893921,101.237616459853,109.720709092804,104.665000923233,106.680655012700,114.223341685875,104.087187853815,103.703431181937,105.260080002586,105.773997291997,108.202602047850,109.362021666343,102.734008933907,118.719043712037,110.445970306631,110.065879435505,85.451344076892,108.242123196214
2014,Agosto,8,32,98.664096622360,101.700678372542,105.639592061870,120.509308617743,103.357838042099,99.894787853440,102.528071513521,105.924299625694,97.388538991325,110.048579394020,104.857334809205,108.491767512919,101.931111303846,103.739662310151,97.899796161111,104.153813361872,107.099134297581,94.854306160465,98.491852715168,102.263886330786,105.064210842149,104.696452067668,101.775789535607,102.659384622760,113.734761830924,108.758995096301,111.769091345264,91.463591980896,104.301423746956
2014,Septiembre,9,33,94.360095601187,98.539513922326,94.544902263845,117.657763029901,101.687834829812,101.526185856817,104.039474345208,107.603348986082,95.355636601618,105.331921022489,100.733958361566,105.092698099025,105.715332394185,102.755266933668,88.021570838901,102.427350424251,96.196950610937,90.128999661451,96.348272864034,102.831915637015,101.941376438350,106.902777821746,113.174342223038,102.852491600545,123.603726675869,111.256116341023,110.308805363662,100.107946491847,107.939586686342
