,CONCEPTOS,Enero-2012,Febrero-2012,Marzo-2012,Abril-2012,Mayo-2012,Junio-2012,Julio-2012,Agosto-2012,Septiembre-2012,Octubre-2012,Noviembre-2012,Diciembre-2012,Enero-2013,Febrero-2013,Marzo-2013,Abril-2013,Mayo-2013,Junio-2013,Julio-2013,Agosto-2013,Septiembre-2013,Octubre-2013,Noviembre-2013,Diciembre-2013,Enero-2014,Febrero-2014,Marzo-2014,Abril-2014,Mayo-2014,Junio-2014,Julio-2014,Agosto-2014,Septiembre-2014,Octubre-2014,Noviembre-2014,Diciembre-2014,Enero-2015,Febrero-2015,Marzo-2015,Abril-2015,Mayo-2015,Junio-2015,Julio-2015,Agosto-2015,Septiembre-2015,Octubre-2015,Noviembre-2015,Diciembre-2015,Enero-2016,Febrero-2016,Marzo-2016,Abril-2016,Mayo-2016,Junio-2016,Julio-2016,Agosto-2016,Septiembre-2016,Octubre-2016,Noviembre-2016,Diciembre-2016,Enero-2017,Febrero-2017,Marzo-2017,Abril-2017,Mayo-2017,Junio-2017,Julio-2017,Agosto-2017,Septiembre-2017,Octubre-2017,Noviembre-2017,Diciembre-2017,Enero-2018,Febrero-2018,Marzo-2018,Abril-2018,Mayo-2018,Junio-2018,Julio-2018,Agosto-2018,Septiembre-2018,Octubre-2018,Noviembre-2018,Diciembre-2018,Enero-2019,Febrero-2019,Marzo-2019,Abril-2019,Mayo-2019,Junio-2019,Julio-2019,Agosto-2019,Septiembre-2019,Octubre-2019,Noviembre-2019,Diciembre-2019,EneroP-2020,FebreroP-2020,MarzoR-2020,AbrilP-2020
0,Total,94.674641897262,94.079046572052,99.092236706156,95.479323339197,100.315256947922,99.686846685351,99.310905970285,99.099167788304,95.189233985363,101.859896015647,104.38647295659,100.52815169904,97.968513016852,94.670966725267,97.060750751625,99.916204045698,102.275271623577,99.517544245748,100.80984176362,100.273600677048,96.806784166084,103.667235630513,104.231686475801,102.801600878164,98.755370565394,96.956685704043,101.494960968148,100.318589034128,104.860544323497,102.893854351845,104.138505574428,101.736007391456,100.015317722351,106.810918051655,106.479982805841,106.881928817523,102.319088893444,99.870409103497,104.966124897098,103.688325860233,106.199791081538,107.317585750656,107.460230318402,105.482769918921,105.023137510479,109.29412186066,109.098242478338,109.261819794709,104.421525672086,104.58034944857,105.910261264739,107.292797797755,109.056822115223,109.959479365436,107.523314046925,108.946738411965,106.059164918282,110.566380033082,114.147677135707,112.513692322711,108.408012942807,105.286929711233,111.891310833511,106.202764408911,112.320556849849,112.807943380596,108.958624752913,111.780354950166,106.330740076802,112.849809489054,116.175488069189,113.970090987431,111.064373578467,107.800131526803,111.257988323056,111.672635753576,115.806903721914,114.494439364781,112.896047497198,114.357232823249,108.69670329817,115.886421144701,117.675939063839,113.170008866641,112.259526489236,108.830642244782,112.335482981695,109.865674961851,115.204438875073,112.826332402359,113.299393170187,113.088621019992,108.646900550061,115.14276709034,116.066693691939,113.551715867205,111.471514467745,108.178937081788,109.757601992953,88.056898055173
1,Actividades_primarias,94.80282535246,86.979325038695,87.054936623288,90.146793097819,101.983748672022,115.28081685184,99.490942460491,78.19221471192,65.438807938939,85.478357055543,137.380030359829,127.609855417878,103.623956675555,89.865767107027,77.177572851516,95.372714199666,109.079767732711,115.603665595464,102.615252309999,76.768359035601,69.064018127537,94.558195939431,130.8919847276,135.378745697893,102.100036098892,98.981072102858,82.552851822863,96.351035175332,115.437779683455,116.107924067097,108.455779464184,81.765720058136,72.019637701368,91.826260963171,132.916373034615,141.53230760368,116.144066143324,99.038383284021,81.093200236384,100.707254176866,120.79092017829,111.915836466333,101.484256751473,83.810381210227,74.914349593602,92.749296091796,129.150966576644,145.450240810498,118.040424075523,102.405623858966,79.796818415913,101.385746350943,113.625000211675,127.307439540528,104.700705026197,89.827493866386,77.028095830434,95.249000198146,140.738677147769,151.718360411929,132.172758301053,98.451218668259,84.363855350815,103.953846574701,114.680351583029,132.469074209512,107.933618674016,87.539231858918,78.894162770752,98.326675719518,152.649286440878,154.983210135455,134.266497054277,107.920411742949,90.15796072079,108.17944813576,124.774036933763,126.689834916932,109.286412160824,89.095793519617,78.89220700691,93.116605521447,157.826008979913,159.869692803868,132.851383586118,113.797550465112,91.760226114306,106.332511313326,122.696727135926,127.721086940492,111.974692432197,87.959102754105,83.66164338715,101.720105758228,150.516089319827,156.789487509533,137.859134835618,106.36010370032,100.329612412932,108.288047727831
2,Actividades_secundarias,97.418899181668,96.596465337654,101.728778922693,97.343413239663,102.213542345919,100.864731103695,101.88628814026,101.952463911608,99.661959082015,103.738157209383,102.46984858701,96.809379249968,99.142155080169,96.198218267292,97.971035636314,99.927161854324,102.470408232086,98.648102733654,100.627914779358,101.831873018687,98.341821005416,104.849304871479,101.785826446206,98.206178075015,100.117872374973,97.526480891841,103.472106824099,100.697668131933,105.059939373836,102.892396859782,103.246972079471,102.844813703929,102.00496084757,107.840672279029,103.68119255151,101.490834010765,101.656245379186,99.328436456881,104.279668068671,101.700349083224,103.640798194566,103.900049373896,105.682973345891,105.384529863474,105.596304787465,107.505569269897,103.805901942672,101.952308896115,102.677360892148,102.504911421239,103.332434831039,103.79305099906,104.897822861168,104.806489621778,103.455535678737,105.706159455874,103.438556218574,105.917355986069,106.10667868929,101.735765747867,103.452467872637,100.333261709616,107.96079147892,99.79445566278,105.519330861032,105.534362651094,102.907478328435,106.236482199041,101.687773844469,105.826559503585,104.849124953422,101.158016561094,105.107570236725,101.215854581608,104.329489329368,104.100651870612,107.601660827752,106.41221524225,104.788209017286,106.831105204797,103.621659035638,106.567358029474,103.189053550929,97.898599965648,104.533219269116,101.267637468372,104.124072607648,101.053000841964,104.213022348373,103.238886421579,103.389059828989,105.546220904418,102.043302674221,103.412501889557,101.087429924305,97.099931408389,102.839528718459,99.257550041582,99.03543504025,71.485071327642
7,Actividades_terciarias,93.172685909537,93.06501201564,98.262151796228,94.732252324385,99.196681653962,98.258977624059,97.898365702793,98.598014913608,94.251299588363,101.662000396977,103.767986832221,101.189726630743,97.04388282705,94.080878469538,97.566849626201,100.139235968478,101.82596717236,99.180568888767,100.81798640553,100.609137117259,97.368564890169,103.482180477446,104.220822027456,103.663926129748,97.844289503864,96.544139064783,101.372236954418,100.311982985933,104.21876357393,102.228625939391,104.406749148297,102.138311667468,100.34210623561,107.005013684594,106.672734786725,108.073362809103,101.983494444669,100.207695723201,106.543468643182,104.921936234297,106.85889566993,108.948223887074,108.72995865994,106.628649716018,106.228346844492,111.102702796961,110.971618766898,111.421181935101,104.685588955031,105.820980328741,108.631243099584,109.49773078328,111.093039481691,111.893242792147,109.882334630153,111.67636482166,108.950516912948,113.871921222378,117.189401066961,116.411156502214,109.91075574353,108.330990327169,115.420718522088,109.808351941256,115.907975561462,115.780742622546,112.307886827731,116.02332724951,110.243818370042,117.40916364694,120.509467952147,118.88492256118,113.141114100765,111.382200112256,116.097199661839,115.975087586491,119.826421049491,118.284204443273,117.496384937477,119.731870260186,112.964593567926,122.112542594576,123.54696626379,119.138448393567,115.43213007829,112.701790553562,117.84737280668,114.84626135254,120.816629850868,117.300320279396,118.766841696376,118.46547707123,113.504881018113,122.211763524509,122.493373076965,120.337895479107,114.845550409604,113.132360461955,116.0758891986,96.068087422781
